Country;#1. Open Public Procurement;#2. Ending abuse of anonymous companies;#3. Innovation and data driven approaches to expose and fight corruption;#4. Transparency on lobbying;#5. Transparency of political party finance;#6. Access to information;#7. Transparency and participation in budgets and fiscal policies;#8. Transparency and open contracts in the natural resource sector;#9. Engaging citizens in an open and inclusive law-making process;#10. Inclusive development of national and subnational climate and sustainable development strategies and plans;#11. Tracking climate relevant policy implementation and results;#12. Greater transparency of information on climate and sustainable development in national budgets;#13. Disclosure of climate-related investment risks and corresponding mitigation measure;#14. Policies and mechanisms to promote and strenghten engagement with civil society;#15. Increase the responsiveness and accountability of public services to citizens;#16. Opening and sharing civic technology tools for opening government;#17. Collaborative data infrastructures;#18. Guidelines principles for open data policies;#19. Creating an Open Source Software policy;#20. Transparency on international trade negotiations
St. Kitts and Nevis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Lucia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St-Martin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
Montserrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicaragua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puerto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Salvador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
St. Pierre and Miquelon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sint Maarten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trinidad and Tobago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turks and Caicos Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St. Vin. and Gren.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
British Virgin Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
U.S. Virgin Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United States;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0
Brazil;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bolivia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0
Chile;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Colombia;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Falkland Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guyana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ecuador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paraguay;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Uruguay;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United Arab Emirates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azerbaijan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brunei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bhutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N. Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0
Hong Kong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
India;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Indian Ocean Ter.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Israel;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
Jordan;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Indonesia;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Siachen Glacier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Japan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kyrgyzstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cambodia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Korea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lao PDR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lebanon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sri Lanka;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0
Macao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mongolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myanmar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malaysia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palestine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dem. Rep. Korea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philippines;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Singapore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thailand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tajikistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Timor-Leste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taiwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turkmenistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turkey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vietnam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yemen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Côte d'Ivoire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dem. Rep. Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cape Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comoros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Djibouti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ethiopia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ghana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea-Bissau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eq. Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kenya;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Morocco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lesotho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Libya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mozambique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mali;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mauritania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malawi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namibia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nigeria;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rwanda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
W. Sahara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S. Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Somaliland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
São Tomé and Principe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Somalia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Swaziland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Togo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanzania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uganda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zambia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
South Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zimbabwe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bosnia and Herz.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Czech Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Switzerland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Denmark;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Faeroe Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Finland;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
France;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1
Guernsey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United Kingdom;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Hungary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Croatia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
Isle of Man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Kosovo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jersey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liechtenstein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macedonia;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1
Moldova;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Netherlands;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Romania;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norway;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
San Marino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ukraine;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Vatican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
American Samoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ashmore and Cartier Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cook Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fiji;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Australia;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Guam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Micronesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kiribati;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marshall Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N. Mariana Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Caledonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norfolk Island;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nauru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Zealand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pitcairn Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fr. Polynesia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solomon Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papua New Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wallis and Futuna Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vanuatu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Samoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fr. S. Antarctic Lands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heard I. and McDonald Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Br. Indian Ocean Ter.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maldives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarctica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S. Geo. and S. Sandw. Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mauritius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint Helena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Seychelles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
